Symbol,Year,Average Price,Closing Price
ABBV,2022,147.5243823290821,147.42999267578125
ABBV,2021,132.54584772624668,132.9272918701172
ABBV,2020,97.64849026744584,100.71131134033203
ABBV,2019,75.72733583488312,75.75471496582031
ABBV,2018,64.14508439630151,62.16996765136719
ABM,2022,43.83868572341493,39.369998931884766
ABM,2021,43.46516386667887,38.54836654663086
ABM,2020,42.725310640981,45.22952651977539
ABM,2019,33.06714184065739,34.897544860839844
ABM,2018,32.73212023275307,32.342437744140625
ABT,2022,104.3302542089941,95.79000091552734
ABT,2021,114.92541107298835,97.64751434326172
ABT,2020,112.05155248755953,113.20331573486328
ABT,2019,85.21338217381937,101.34700012207031
ABT,2018,71.91917902729901,76.76021575927734
ADM,2022,81.73586905430038,73.80999755859375
ADM,2021,75.7791318439302,81.30809783935547
ADM,2020,54.12565270838034,58.354732513427734
ADM,2019,37.94491938100868,43.72746658325195
ADM,2018,37.71347017022243,36.4785270690918
AWR,2022,88.41042981394733,76.38999938964844
AWR,2021,84.86863569229368,80.52115631103516
AWR,2020,76.96787647992016,82.61189270019531
AWR,2019,77.72612312590458,72.82088470458984
AWR,2018,67.53071769015247,84.8462905883789
BDX,2022,249.42433762265392,258.8999938964844
BDX,2021,244.3890092637804,227.43328857421875
BDX,2020,232.29483852918403,232.080322265625
BDX,2019,233.8671382584895,217.71270751953125
BDX,2018,222.73632417352076,233.791015625
BKH,2022,61.845622940367434,48.02000045776367
BKH,2021,67.65325747595892,66.82844543457031
BKH,2020,59.110948661409054,58.679237365722656
BKH,2019,59.336958987779354,49.68439865112305
BKH,2018,61.415124581629534,66.677734375
CBSH,2022,58.106701109988755,46.25
CBSH,2021,67.38662083943684,66.59793853759766
CBSH,2020,64.6309585571289,65.2737045288086
CBSH,2019,52.30324464775177,49.14167785644531
CBSH,2018,50.10464158381124,50.103424072265625
CDUAF,2022,25.654448421827826,20.75
CDUAF,2021,27.414454437437513,25.72870445251465
CDUAF,2020,23.65092284365954,24.587099075317383
CDUAF,2019,22.398716159075853,20.752965927124023
CDUAF,2018,21.28552053839087,24.143856048583984
CINF,2022,104.42465608148461,99.77999877929688
CINF,2021,112.70698008461603,90.68704223632812
CINF,2020,96.43189336769134,109.02491760253906
CINF,2019,79.62624451838641,72.12651062011719
CINF,2018,82.0660784747971,105.60774230957031
CL,2022,74.56218482393668,70.47000122070312
CL,2021,75.72505191015819,69.3187255859375
CL,2020,76.0361369767512,71.97346496582031
CL,2019,66.02169272434189,72.09880065917969
CL,2018,61.05684722657222,65.521484375
CWT,2022,55.94873420745728,46.43000030517578
CWT,2021,57.743631135849725,54.24311828613281
CWT,2020,53.78447741626268,56.764984130859375
CWT,2019,46.508195732694226,42.662559509277344
